DOC_ID,Author
512,"['abdalla', ' mubarak a. langer', ' uwe others', '']"
514,"['abdalla', ' m. a. matasyoh', ' j. c.']"
515,"['abdalla', ' m. a. suliman', ' s. e. bakhiet', ' a. o.']"
516,"['abdalla', ' m. h.']"
517,"['abdalla', ' m. h.']"
518,"['abdalla', ' m. h.']"
519,"['abdalla', ' m. hamad', ' t.']"
520,"['abdalla', ' n. m. osman', ' a. a. haimour', ' w. o. sarhan', ' m. a. mohammed', ' m. n. zyad', ' e. m. al-ghtani', ' a. m.']"
521,"['abdalla', ' r. e.']"
522,"['abdalla', ' r. e.']"
523,"['abdalla', ' r. e.']"
525,"['abdalla', ' r. e.']"
526,"['abdalla', ' r. e.']"
527,"['abdalla', ' r. e. ali', ' mahdavi wasfi', ' a. i. el-hassan', ' a. m.']"
528,"['abdalla', ' r. e. baker', ' e. a.']"
530,"['abdalla', ' r. e. iskander', ' s. haseeb', ' m. a.']"
531,"['abdalla', ' r. e. sherif', ' h.']"
532,"['abdalla', ' s.']"
533,"['abdalla', ' s. ahmed', ' s. swareldahab', ' z. bhalla', ' k. sudan burden of injury', ' team']"
534,"['abdalla', ' s. abdel aziz', ' m. basheir', ' i.']"
535,"['abdalla', ' s. abdel gadir', ' n. shahraz', ' s. bhalla', ' k.']"
536,"['abdalla', ' s. e. abdelatif', ' a. m.']"
537,"['abdalla', ' s. i. malik', ' e. m. ali', ' k. m.']"
538,"['abdalla', ' safa i. malik', ' elfatih m. ali', ' kamil m.']"
540,"['abdalla', ' t. m. karsany', ' m. s. ali', ' a. a.']"
542,"['abdallaa', ' i. g.']"
543,"['abdallaa', ' ismail. h.']"
544,"['abdallaa', ' ismail. h.']"
545,"['abdallaa', ' ismail. h.']"
546,"['abdallaa', ' ismail. h.']"
547,"['abdallaa', ' ismail. h.']"
548,"['abdallaa', ' k. m.']"
549,"['abdallaa', ' labib.']"
550,"['abdallaa', ' m. o. h.']"
551,"['abdallaa', ' r. e.']"
555,"['abdallaa', ' we']"
556,"['abdallaa', ' wail a.']"
557,"['abdallaa', ' wail a.']"
558,"['abdallaa', ' w. m.']"
559,"['abdallah', ' d. b. charoo', ' n. a. elgorashi', ' a. s.']"
560,"['abdallah', ' e. m.']"
561,"['abdallah', ' k. a. nour', ' b. y. schallig', ' h. d. mergani', ' a. hamid', ' z. elkarim', ' a. a. saeed', ' o. k. mohamadani', ' a. a.']"
562,"['abdallah', ' m. m. adam', ' i. a. abdalla', ' t. m. abdel aziz', ' s. a. ahmed', ' m. e. aradaib', ' i. e.']"
563,"['abdallah', ' mohammed.  o. e. algizouli', ' ubai. k. suliman', ' maram abbas. abdulrahman', ' rawya abdulaziz. koko', ' mahmoud. fessahaye', ' ghimja. shakir', ' jamal haleem. fahal', ' a. h. elhassan', ' ahmed. m. ibrahim', ' muntaser. e. ibrahim. e.']"
564,"['abdallah', ' n. a.']"
566,"['abdallah', ' t. m. ali', ' a. a.']"
567,"['abdallah', ' t. m. ali', ' a. a. adam', ' i.']"
568,"['abdallah', ' t. m. ali', ' a. a. bakri', ' m. gasim', ' g. i. musa', ' i. r. adam', ' i.']"
569,"['abdallah', ' t. m. ali', ' a. a. karsany', ' m. s. adam', ' i.']"
571,"['abdallah', ' tajeldin. m. ali', ' abdel aziem. a.']"
574,"['abdallah', ' t. m. elmardi', ' k. a. elhassan', ' a. h. omer', ' m. b. elhag', ' m. s. desogi', ' m. a. siddig', ' m. f. adam', ' i.']"
575,"['abdallah', ' tajeldin. m. mohamed', ' mamoon. h. ali', ' abdelaziem. a.']"
576,"['abdallah', ' tajeldin mohammedien. mohammed', ' hashim balla. mohammed', ' mamoon hassan. ali', ' abdel aziem abdalla.']"
577,"['abdeen', ' a.']"
578,"['abdei-aal', ' h. karim', ' a. z. moawad', ' m. k. kalifa', ' t. m.']"
579,"['abdel aleem', ' g. a. khaleel', ' e. f. mostafa', ' d. g. elberier', ' l. k.']"
580,"['abdel aziz', ' a. a. elhassan', ' m. m. abdulsalam', ' s. a. mohammed', ' e. o. hamid', ' m. e.']"
581,"['abdel aziz', ' a. brain', ' k. r. bashir', ' a. k.']"
582,"['abdel aziz', ' a. brain', ' k. r. shatalebi', ' m. a. blunden', ' g. patel', ' a. crabb', ' t. a. bashir', ' a. k.']"
583,"['abdel aziz', ' a. m. e.']"
585,"['abdel aziz', ' a. o. abdel ghani', ' a. e. salah', ' m. a.']"
586,"['abdel aziz', ' f.']"
587,"['abdel aziz', ' m. ahmed afifi', ' azam a. malik', ' elfatih m. adam', ' ishag']"
588,"['abdel aziz', ' m. s. osman', ' t. e.']"
589,"['abdel aziz', ' z. a. ibrahim', ' m. e. bilal', ' n. e. hamid', ' m. e.']"
590,"['abdel bagi', ' m. e.']"
593,"['abdel bari', ' e.']"
595,"['abdel fattah', ' a. youssif', ' n. m. shenouda', ' o. a. morsy', ' t. a.']"
596,"['abdel fattah', ' a. youssif', ' n. m. shenouda', ' o. a. morsy', ' t. a.']"
597,"['abdel fattah', ' a. youssif', ' n. m. shenouda', ' o. a. morsy', ' t. a.']"
598,"['abdel', ' g. a. abdullah', ' s. h. kordofani', ' a. y.']"
599,"['abdel gader', ' a. g. m. kordofani', ' anwar.  a. abdullah', ' s. h.']"
600,"['abdel gadir', ' a. a. ahmed', ' e. m. eltohami', ' m. s.']"
601,"['abdel gadir', ' a. chen', ' x. liu', ' j. xie', ' x. zhang', ' j. zhang', ' k. wang', ' h. liu', ' n.']"
602,"['abdel gadir atif', ' e. hildebrandt', ' g. kleer', ' j. n. molla', ' b. kyule', ' m. n. baumann', ' m. p.']"
603,"['abdel gadir', ' enaam. a. diab', ' tayseer. a. kordofani', ' anwar. a. abdalla', ' sana. e.']"
604,"['abdel gadir', ' e. i. hassanein', ' m. m. bashier', ' a. m. abdel aziz', ' s. baki', ' s. chadli', ' a. askaoui', ' s. nawal', ' e. a. slim', ' i. s. ghizlane', ' e. m. hafidh', ' k. alawadi', ' f.']"
605,"['abdel gadir', ' moawia']"
606,"['abdel gadir', ' m. abbas', ' m. jarvi', ' a. elbagir', ' m. eltom', ' m. berne', ' c.']"
607,"['abdel gadir', ' m. a. khalid', ' a. r. ashmaig', ' a. l. ibrahim', ' a. r. ahmed', ' a. a. adam', ' i.']"
609,"['abdel gadir', ' m. a. mahadi', ' s. e. nasr', ' a. o. ahmed', ' m. e.']"
610,"['abdel gadir', ' m. elbagir', ' m. eltom', ' m. berne', ' c. ahren', ' b.']"
611,"['abdel gadir', ' m. elbagir', ' m. eltom', ' a. eltom', ' m. berne', ' c.']"
612,"['abdel gadir', ' m. elbagir', ' m. eltom', ' m. berne', ' c.']"
613,"['abdel gadir', ' m. h.']"
614,"['abdel gadir', ' m. shebeika', ' w. eltom', ' m. berne', ' c. wikblad', ' k.']"
615,"['abdel gadir', ' r. e. mohamed', ' k. elmula', ' i. f.']"
616,"['abdel gadir', ' s. a. a.']"
617,"['abdel gadir', ' t. m. ibrahim', ' a. m. elmardi', ' k. a. githinji', ' s. zurovac', ' d. snow', ' r. w. noor', ' a. m.']"
618,"['abdel gadir', ' w. nielsen', ' ds hamad', ' s. jakobsen', ' m.']"
620,"['abdel gadir', ' w. s. ahmed', ' t. k. dirar', ' h. a.']"
621,"['abdel gadir', ' w. s. adam', ' s. e.']"
622,"['abdel gadir', ' w. s. adam', ' s. e.']"
623,"['abdel galil', ' n.']"
624,"['abdel galil', ' s. gurgel', ' r. g. theobald', ' s. cuevas', ' l. e.']"
625,"['abdel gayoum', ' a. a. ali', ' b. h. ghawarsha', ' k. bashir', ' a. a.']"
626,"['abdel gayoum', ' a. a. ali', ' b. h. abdel-razig', ' k. m. bashir', ' a. a. ghywarsha', ' k.']"
627,"['abdel ghani', ' a. e.']"
628,"['abdel ghani', ' a. e.']"
629,"['abdel ghani', ' a. e.']"
632,"['abdel ghani', ' a. e.']"
633,"['abdel ghani', ' a. e.']"
634,"['abdel ghani', ' a. e.']"
635,"['abdel hadi', ' a. a.']"
636,"['abdel hadi', ' a. a. el kheir', ' y. m. hassan', ' t.']"
637,"['abdel hadi', ' o. m. babiker', ' s. a. picard', ' b. jurie', ' c. jailler', ' r. hocquette', ' j. f. faye', ' b.']"
638,"['abdel hakam', ' h. a. taha', ' m. a.']"
639,"['abdel haleem', ' alyaa. m. rchiad', ' zineb. khan', ' babar. k. abdallah', ' abdallah. m. naeem', ' raeece. sheerin', ' shalam nikhat. solovyev', ' victor. ahmed', ' abdalla. pain', ' arnab.']"
640,"['abdel halim', ' a.']"
641,"['abdel halim', ' a. m.']"
642,"['abdel hamid', ' a. a.']"
643,"['abdel hamid', ' a. a.']"
644,"['abdel hamid', ' a. a.']"
646,"['abdel hamid', ' a. a.']"
647,"['abdel hamid', ' a. a. ahmed', ' b. o. mohamedani', ' a. a. el-harith', ' a. van eys', ' g.']"
648,"['abdel hamid', ' a. a. ahmed', ' a. g. elturabi', ' m. k. mohamedani', ' a. a. magzoub', ' m. e.']"
649,"['abdel hamid', ' a. a. abdalla', ' h. m. alnaury', ' a. h.']"
650,"['abdel hamid', ' a. a. el-jak', ' i. e. faragalla', ' i. a.']"
